name_of_reviewer,reviewer_info,stars,when_reviewed,review_text,review_like_count,response_by,when_responded,what_response
PREETHI N BABU,Local Guide · 10 reviews · 6 photos,1 star,2 weeks ago,"Don't visit this place of you have 2 or 4 wheelers parking inside the mall. First of all they have made two different lifts taking you to 2 wheelers parking in B2 and separate for 4 wheelers parking in P1 n P2 with no instructions outside the lift. People always comes to the wrong one and left with roaming here n there to catch the right lift. My personal experience of wasting 30 min walking n searching for correct lift and the lift workers are so ride that they leave you at B1 and says take other lift or use staircase for B2 and offs the lift just to go from work and I'm left with serching for right lift going here n there as per the instructions of the mall workers.
If you can't make the facilities properly and give proper facilities in this big mall.....it's surely waste of everyone's time",1,,,
ashvin pinjarkar,Local Guide · 31 reviews · 18 photos,2 stars,a month ago,"Four wheeler parking is very bad. There is always a long queue on weekends. Though it has parking space, due to bad structure / cheap design/ management we r not able to park ur car. The good part is parking charges get debited from ur fast tag, so need not wait for that. Shops n all good. There are many varieties of shops u can get under one roof. No seating arrangement for kids/senior citizens",,,,
nitin agarwal,9 reviews · 3 photos,2 stars,a week ago,Worst experience during weekends to visit mall. It took 45 mins to park the car in mall parking and 20 mins to come out of mall. This is due to the problem self created by mall management. They always have non-working fastag system which make every car owner to pay by cash / UPI and leads to long queue of cars to come out of mall. Mall management should immediately look for the ways to improve smooth entry and exit else people coming to spend good time end up in frustration will continue forever,,,,
Prolay Ghosh,Local Guide · 76 reviews · 177 photos,4 stars,a year ago,"The shopping mall offers a vast array of brands and boasts beautifully designed sculptures that make it a paradise for shoppers and Instagram enthusiasts alike.
Lots of options for food in the food court with different seating options. However, it's evident that the mall was opened hastily, as there's a noticeable lack of finishing touches throughout.

Weekends are marred by chaos, primarily because of the congested approach roads and parking areas. This detracts from the overall shopping experience, making it challenging to fully enjoy the mall's offerings. With some improvements in traffic management and the addition of a more polished aesthetic, it has the potential to become a top-tier shopping destination.",2,,,
Sumit Bhadani,Local Guide · 36 reviews · 170 photos,5 stars,a year ago,"A visual masterpiece by Phoenix group in pune.

This is the second Mall by Phoenix in Pune earlier they were having Phoenix Market city in Viman nagar pune and it has been the best mall of pune since its opening.

Now “Phoenix Mall of the Millennium” in Wakad and I would say they have upgraded the Grandness in every possible way.

It’s a visual masterpiece they have constructed and decorated it with elegant interior and used state of the art things for decorating it.

You will be visually intrigued by the decoration in each and every part of the mall.

They have all the major brands and various restaurants and food courts.
The food court has been decorated with Forest theme

Inox Multiplex is one of the biggest in pune and have maximum number of screens around 18 screens.

They have multiple play areas for children

Still a lot of area in under construction and more brands are coming to the mall

A major draw back is the parking space.The parking space is not adequate as per the requirement.

They are getting connected directly to the under construction Metro station

I would say a must visit",,Response from the owner,a year ago,"Thank you for taking the time to share your experience! We're thrilled that you had a great time at Phoenix Mall of the Millennium. Providing top-notch service and a wide range of options for our shoppers is what we aim for. Your feedback motivates us to keep delivering excellence. Looking forward to your next visit!
"
Dr.Tejal Mahajan,Local Guide · 29 reviews · 205 photos,4 stars,5 months ago,This is one of the best mall in pune..the interior is best of all✨It will amaze you from entry till exit..this mall has bestest brands👍🏻it also has fun activities for children as well & the ice skating here is about to open..must visit mall✨☺️ …,,,,
Vishal Harshey,Local Guide · 120 reviews · 694 photos,3 stars,a year ago,"Phoenix Mall is a massive shopping center with an abundance of stores. In fact, there are so many stores that it might take you nearly half an hour just to walk figure out the layout and map. You’ll find a wide variety of shops selling clothing, jewelry, bags, cosmetics, footwear, etc. The food court is equally overwhelming, offering numerous options that might leave you puzzled about what to eat. Overall, I recommend setting aside an entire day to explore this extensive mall.

And for watch enthusiasts, there’s a Breitling store waiting for you!",1,,,
Shri,Local Guide · 52 reviews · 259 photos,5 stars,a year ago,"Much needed mall in this location. It has all the popular bands(clothing , jewellery and food) and from outside it looks fabulous and entrance fountains are really nice.
Timezone is little bit congested but it has all the formats.
Inside they have very unique artefacts in every floor.
Must visit!",1,,,
Shubham Mantr!,"Local Guide · 292 reviews · 2,946 photos",4 stars,10 months ago,"Nice mall in PCMC. They have 2 separate entries for vehicle, two wheeler and four wheeler. Parking can be improved as its at very ground level and the slope is slippery.  Huge rush on weekends and festive season and on holidays. You need lots of patience to get the table in food court or rush early for the same. Many outlets are yet to be opened. Internally the design is good and well maintained.",1,,,
Kaushik Kale,Local Guide · 174 reviews · 424 photos,5 stars,10 months ago,"Phoenix, the name itself, says that it must be a huge bright quality mall. It is perfect for family or friends or solo visits. Here you will find a helllot of rush on the weekends. Worst part is to get the parking for the cars. Haha, it takes you around 1 hour in the line to get the car inside the parking of the mall. This is the only part which is nit good about the wakad Phoenix mall. Rest everything is good inside the mall. Do visit it for it's look and feel.  There are a lot of brands in the mall and it is much better than the elpro.",1,Response from the owner,10 months ago,"Thank you for taking the time to share your experience! We're thrilled that you had a great time at Phoenix Mall of the Millennium. Providing top-notch service and a wide range of options for our shoppers is what we aim for. Your feedback motivates us to keep delivering excellence. Looking forward to your next visit!
"
Gayatri Toshniwal,Local Guide · 241 reviews · 530 photos,5 stars,a year ago,"Amazingly created mall!

Huge no. of brands available. One stop destination for shopping.

Big no of options for food outlets available on the top floor.

Game zone is amazing. Offers bowling, AR apart from the traditional games.

Ample parking is available and is paid.

Gets crowded on the weekends

On a lighter note..the interiors of the washroom are eye catching.

The overall interior of the mall is breathtaking",1,Response from the owner,a year ago,"We appreciate your positive feedback about our mall in Wakad. It's fantastic to hear that you found Phoenix Mall of the Millennium to be the biggest and best shopping center in Pimpri Chinchwad. We strive to create a welcoming and enjoyable shopping experience for all our visitors. Looking forward to your next visit.
"
Hari Om,Local Guide · 184 reviews · 918 photos,5 stars,a year ago,"Don't visit this mall on Saturday Sunday. It is very new mall and people are visiting like hell. Parking takes time especially for 4 wheelers. Big Mall to explore, only 50% shops are opened and work is going on for rest coming brands. Almost all Brands are there. Parking can be one of the issue. Food Court design is filled with lot of artificial grass so it feels crowdy.

They should keep Segway kind of vehicles there  to cut down the distance.",,,,
Shailesh Hatte,Local Guide · 129 reviews · 130 photos,4 stars,a year ago,"Quite a few brands for almost all your shopping needs. Nice place to spend some time alone or with family and friends.

Still many shops are under construction and many are coming up.

Good number of eateries in food mall.

Washrooms, drinking water facilities available.

Quite a few photo/selfie points for those interested.

(Bike parking management could be improved.)",,,,
Vijay,Local Guide · 309 reviews · 716 photos,5 stars,2 months ago,One of the biggest mall in in india very well managed,,Response from the owner,2 months ago,Thank you for sharing your wonderful experience! We're delighted you choose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Vikas Pandita,Local Guide · 37 reviews · 583 photos,5 stars,6 days ago,"Phoenix Mall of the Millennium in Wakad, Pune, stands out as a premier lifestyle destination, offering a blend of shopping, dining, and entertainment experiences.

🛍️ Shopping Experience

Spanning 15 acres, the mall houses a diverse mix of international and Indian brands, including Zara, H&M, Mango, Shoppers Stop, Puma, and Pantaloons.  This variety caters to a wide range of fashion preferences, making it a go-to spot for shoppers seeking both luxury and everyday essentials  .

🍽️ Dining Options

The food court boasts an array of choices, from global chains like McDonald's, KFC, Starbucks, and Tim Hortons to local favorites such as Punjab Grill and You Mee.  For those craving Asian cuisine, EIGHT offers commendable sushi and dim sum, though some dishes like the Tonkotsu Ramen have room for improvement  .

🎬 Entertainment & Amenities

Entertainment enthusiasts can enjoy a state-of-the-art 14-screen IMAX multiplex, ensuring a top-notch cinematic experience.  Families with children will appreciate Fun City, an indoor amusement center filled with rides and games tailored for younger visitors  . Additional amenities include free Wi-Fi, concierge services, and facilities catering to parents and individuals with special needs  .

🚗 Accessibility & Parking

While the mall is conveniently located near the Pune-Bangalore Highway and close to the Bhujbal Chowk Metro Station, parking can be challenging, especially during weekends.  Visitors have reported delays of up to 45 minutes in finding parking spots, with limited staff to manage the weekend traffic  .

🧼 Facilities & Cleanliness
The mall is generally well-maintained, offering a pleasant ambiance for shoppers.  However, some patrons have noted a shortage of washrooms, which can be an inconvenience during peak hours  .

Events & Ambiance

Phoenix Mall of the Millennium frequently hosts live performances, pop-up exhibitions, and seasonal sales, enhancing the overall shopping experience.  The mall's decor, inspired by Parisian themes, adds a touch of elegance to its atmosphere  .

---

✅ Final Verdict

Phoenix Mall of the Millennium offers a comprehensive shopping and entertainment experience in Pune's Wakad area.  While it excels in brand variety and amenities, visitors should plan their trips during off-peak hours to avoid parking hassles and potential overcrowding.",,,,
Subodh Shukre,"Local Guide · 579 reviews · 1,451 photos",4 stars,a year ago,Huge mall with huge rush during evening hrs and weekends. Parking charges are ₹50 for the car. Food court is nice but long waiting during weekends. Time zones and fun city kids zones are there.,2,,,
Akhilesh Kulkarni,Local Guide · 109 reviews · 249 photos,5 stars,a month ago,"The mall is a perfect gateway for some relaxation, window shopping and varied delicious eateries. The theater located at the top floor makes it a perfect package to spend some quality time with family and friends amid diverse brands across different categories.",,Response from the owner,a month ago,"We appreciate your positive feedback about our facilities! We're dedicated to providing top-notch amenities for all our visitors. Thank you for choosing Phoenix Mall of the Millennium, and we can't wait to see you again!"
Sakshi Patil,Local Guide · 11 reviews · 5 photos,5 stars,a month ago,Best place to spend a day. Right from shopping to fun and entertainment all is here. Super clean and hygienic. I had come to watch movie in Inox theatre plus shopping. Time well spent. Kids loved it,,,,
Mrityunjai Bisht,Local Guide · 42 reviews · 762 photos,5 stars,8 months ago,"Great & beautiful Shopping mall , a lot of variety of foreign & indians brands of apparel, food , & other items are there . Food court is also awesome consisting of a lot of shops of various cuisines & tastes.",,Response from the owner,8 months ago,"Thank you for your kind words! It’s wonderful to hear that our mall’s unique blend of shopping, dining, and attractions impressed you. We hope to welcome you back soon for another memorable visit at Phoenix Mall of the Millennium."
Chandan Priyadarshini Shukla,Local Guide · 37 reviews · 24 photos,4 stars,5 months ago,"Good place visit with kids and family friends . . I visited on Sunday . Little crowded and grt water fountain . Don't know is it for always or just for Christmas mass. Larger Verity of clothes, watch cosmetics, mostly every thing you want , children play area. Thought bot costly. Grt grt showpiece and monoments. Good place to click photo as many as you want . Go ahead.",,,,
Amey Patil,Local Guide · 213 reviews · 211 photos,5 stars,a year ago,"Finally visited this relatively lately opened phoenix mall.
Detailed review for everyones perusal.
1. Location : extremely well located , easily accessible mall on the Mumbai - banglore highway. I guess one of the few in Pune City.
2. Ample parking inside for 4/2 wheeler 50/30 flat fee charged. No time cap.
One more thing, if you have fastag then you can pay through it That's an excellent feature I felt.
3. Shops - all major retail chain outlets are there. Max , trends , etc.
3.1 Kids game zone is super excellent. Delight for all kiddos.
4. The food court which happens to be on the top floor is spacious enough to cater to numerous crowds. Bit pricy but that's the reality in any mall across India.
5. On the mezzanine floor ,lots of artifacts are for your visual delight.
6. Chandeliers are spectacular.
7. Cleanliness is well maintained in restrooms and passages.

In general if some one wants to visit this mall then keep at least three to four hrs to peacefully roam/shop/eat in the mall.",1,Response from the owner,a year ago,"Thank you for taking the time to share your experience! We're thrilled that you had a great time at Phoenix Mall of the Millennium. Providing top-notch service and a wide range of options for our shoppers is what we aim for. Your feedback motivates us to keep delivering excellence. Looking forward to your next visit!
"
Deepu Nandan,Local Guide · 117 reviews · 286 photos,1 star,a week ago,"Chaos, mismanagement and one that tests your patience to the limit!!!

Though one of the biggest malls in the vicinity, Mall of millennium takes the chaos to next level.

Parking is a colossal message here. Fromthe time you enter it takes ages to find a parking spot. There is poor coordination from mall team.

And real hell starts once you try to go out. You will be stuck in ramp for 20 -30 mins since the exit gates are limited and it can't handle the traffic flow. By the time you go out you will be cursing yourself for coming to this place.",,,,
Kalpesh Jain,Local Guide · 120 reviews · 533 photos,4 stars,a year ago,"I visited the mall on opening day. It's very huge, there are a total of 5 floors and almost 60-70% brands are open now and some are opening soon. They also have huge parking, the building construction is also very nice, but one problem the tiles work who has done is very bad quality, they fit break tiles also tiles are not in the same level, tiles design also very bad and it looks very cheap. I liked their ceiling design, not at the entrance but all over the ceiling is very nice. Their food court is also very nice.",5,,,
Vyom Sharma,Local Guide · 177 reviews · 284 photos,5 stars,a year ago,"A very large mall in the Wakad area of Pune. This is a newly constructed Mall. Some areas are still under construction. Movie theater is still not operational. Food court is great. Almost all possible brands to shop and eat are present. Roads leading to mall can be very crowded on weekends.
It has large parking. Valet parking is also available.",2,,,
Utpal Kumar,Local Guide · 4 reviews · 62 photos,4 stars,3 months ago,DON’T PARK 2-WHEELERS IN FRONT OF THE CHILDREN’S PARK. TRAFFIC POLICE LIFTS THE VEICHLE EVERYDAY.,,,,
Samruddhi Karnik,Local Guide · 102 reviews · 575 photos,5 stars,a year ago,One of the best malls in Pune! Has all the brands literally and I personally loved the art sculptures here. Very finely crafted and you can read about the artist and the message they wanted to convey through their art. The food court is also huge and you can get a variety of cuisines in reasonable price.,4,Response from the owner,a year ago,"We appreciate your positive feedback about our mall in Wakad. It's fantastic to hear that you found Phoenix Mall of the Millennium to be the biggest and best shopping center in Pimpri Chinchwad. We strive to create a welcoming and enjoyable shopping experience for all our visitors. Looking forward to your next visit.
"
Ishita Kulkarni,"Local Guide · 160 reviews · 1,142 photos",4 stars,6 months ago,The mall has a lot of options but it’s conjusted. The food options are amazing! Would recommend parking four wheelers outside the mall on weekends since the rush is unmanageable by the staff,,Response from the owner,6 months ago,Thank you for sharing your wonderful experience! We're delighted you chose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Misba Sayyed,Local Guide · 86 reviews · 225 photos,4 stars,a year ago,"A gigantic mall. A lot of brands and variety of food outlets are available here. A bit too crowdy on weekends as it is a new mall in the town. A bit tedious as parking for two wheelers have different entry. Water fountain, lightings, etc are very eye catchy and pretty. It looks very beautiful at night. The mall is huge so there is a lot of walking if you plan to bring senior citizens though there are a lot of resting / seating places available. Two game zones are available and perfect for kids. Washrooms are clean. The mall is very beautiful inside out.",3,,,
Prakash M,Local Guide · 223 reviews · 436 photos,5 stars,3 months ago,"All in one place !! It’s a newly opened Phoenix Mall in wakad with great interior. And it’s best mall in pune. You will get brands in one place !!
Usually weekends is but crowded as it is newly opened. Food courts and INOX Megaplex is on 3rd floor. Working hours 11:00 AM to 11:PM.
It’s a located very near to Sayaji Hotel and banglore Mumbai Highway",,Response from the owner,6 months ago,Thank you for sharing your wonderful experience! We're delighted you chose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Rajesh Rakesh,"Local Guide · 188 reviews · 3,365 photos",4 stars,7 months ago,"One of the biggest mall in pune. All the fashion brands and essentials shopping 🛍️ are there.. you name it they have it…regular or rare…big food court with all the options…foodie will never regret…the only COSTA Coffee store of pune is also there…everything is just as per standards and wow… except way to PARKING… it’s very narrow especially suvs like x7, Fortuner, holster mg etc removed one star for way to parking only…",,Response from the owner,7 months ago,"Thank you for your fantastic review! We're thrilled to learn about your excellent experience at Phoenix Mall of the Millennium in Wakad, Pune. As the largest shopping destination in the area, we're dedicated to delivering top-notch shopping experiences. We look forward to welcoming you back soon."
sadaf nishat,Local Guide · 97 reviews · 192 photos,5 stars,11 months ago,"My house is nearby so I happen to visit this mall very often and I love it. It has a lot of good brands, an ammazing food court, inox, timezone. It’s a like a complete package for an evening outing!",2,Response from the owner,11 months ago,"Thank you for your wonderful review! We're delighted to hear that you enjoyed your visit to Phoenix Mall of the Millennium. Providing an exceptional shopping experience is our goal, and we're thrilled to know we achieved that. Your feedback encourages us to continue delivering the best service possible. See you again soon!
"
Hassu,Local Guide · 246 reviews · 901 photos,5 stars,10 months ago,Finally the wait is over.this mall have almost all the brands which was needed.Nicely decorated and well maintained.Washrooms are also clean.also food court is divided into two parts one with cafeteria theme and the other aide all restro theme..loved the way they have built.Huge and massive parking .Avoid going in weekends as there will be a mojor waiting for parking.,,Response from the owner,10 months ago,"Thank you for taking the time to share your experience! We're thrilled that you had a great time at Phoenix Mall of the Millennium. Providing top-notch service and a wide range of options for our shoppers is what we aim for. Your feedback motivates us to keep delivering excellence. Looking forward to your next visit!
"
Soumya Ranjan,Local Guide · 25 reviews · 29 photos,4 stars,5 months ago,Biggest mall in Pune. Located at heart of Wakad with several variety of brands of clothes and home decor. Well guided in each floors. Foods seem over priced a bit,,Response from the owner,5 months ago,Thank you for your kind words about our location! We're glad you found Phoenix Mall of the Millennium easily accessible. We hope to see you again soon!
Diksha Mittal,Local Guide · 86 reviews · 601 photos,5 stars,5 months ago,"A very big and nice mall to visit.
Most of the brands shops are there.",,Response from the owner,5 months ago,Thank you for sharing your wonderful experience! We're delighted you chose Phoenix Mall of the Millennium for your shopping and look forward to welcoming you back for another enjoyable visit!
Aarti Kumawat,Local Guide · 29 reviews · 32 photos,4 stars,a year ago,"Nice shopping mall in wakad. Every brand has an outlook here . Many restaurants help you enjoy different types  food court. Neat clean and very well maintained. Ambience is well maintained. The decorations are fabulous. Game Zone  for kids.....,♥️love it.....",,Response from the owner,a year ago,"Thank you for your wonderful review! We're delighted to hear that you enjoyed your visit to Phoenix Mall of the Millennium. Providing an exceptional shopping experience is our goal, and we're thrilled to know we achieved that. Your feedback encourages us to continue delivering the best service possible. See you again soon!
"
Shubham Kubde,Local Guide · 112 reviews · 380 photos,5 stars,a year ago,"Great Space! Just visit it once and get the view of proper design and shops. 50% shops are yet to get start. Also the theatre is not yet started too (INOX). The basics which is food court , currently it’s flooded with people (visit any day). Parking issues are there currently + free traffic on that. Must visit for incredible brands at one stop!",1,,,
vijeta pareek,Local Guide · 159 reviews · 347 photos,5 stars,a year ago,"One of the best malls in Pune.

This mall impresses with its stunning interior design, seamlessly blending aesthetics and functionality. The diverse range of brands, from cosmetics to ethnic wear, ensures a captivating shopping experience. Additionally, the array of food options and a dedicated game zone add an extra layer of enjoyment for visitors.

Each detail, from the carefully chosen lighting to the aesthetically pleasing decor, contributes to an ambiance that elevates the entire shopping experience. The diverse range of brands available is a shopaholic's dream, encompassing everything from top-notch cosmetics to a rich collection of ethnic wear.

The VR show at this mall is a true technological marvel, offering a captivating and immersive experience that transcends traditional forms of entertainment. It seamlessly transports participants into fantastical realms, blurring the lines between reality and imagination.

In the midst of shopping, dining, and entertainment, the fountain show emerges as a serene escape, offering a moment of tranquility and contemplation. It's not just a feature; it's a dynamic masterpiece that transforms the mall into a haven of artistic expression, leaving an indelible impression on all who witness its graceful dance.",1,Response from the owner,a year ago,We appreciate your positive feedback about our mall in Wakad. It's fantastic to hear that you found Phoenix Mall of the Millennium to be the biggest and best shopping center in Pimpri Chinchwad. We strive to create a welcoming and enjoyable shopping experience for all our visitors. Looking forward to your next visit.
Vikas Meghani,Local Guide · 226 reviews · 421 photos,4 stars,11 months ago,It is a nice big mall with a fresh design and architecture. I love some of the design and architecture but for buying it was not up to the mark for me. Fee for parking is minimum 30 for 2 Wheeler. For food plenty of option are available,2,,,
Milan Panchal,Local Guide · 71 reviews · 460 photos,5 stars,8 months ago,"Absolutely loving this. One of the best malls in Pune. On Sunday it will be jam packed. Kids will love the water fountains at the entrance.

Flamingos 🦩 at the entrance also very attractive.

If you have kids under 1 year you can take the staller by submitting ID proof and then return back. Wheelchair is also available for elderly people.",,Response from the owner,8 months ago,"We appreciate your positive feedback about our mall in Wakad. It's fantastic to hear that you found Phoenix Mall of the Millennium to be the biggest and best shopping center in Pimpri Chinchwad. We strive to create a welcoming and enjoyable shopping experience for all our visitors. Looking forward to your next visit.
"
Nikita Mande,Local Guide · 16 reviews · 27 photos,4 stars,a year ago,"Hey everyone,
So....The Phoenix Mall of the Millennium is bit close to my heart as i have been the part of it's construction process in little bit mine contribution.
I visited the mall 2 days back and to say about the mall, it's just FAB 👌.
It's a 3-4 floor mall, with spectacular interior as well as the exterior of the mall.
At the entry of mall you will get to see the musical fountains which is a good attraction spot for audience.
To talk about Insight of mall, at every floor you will get a picture click spot.
Still the mall is not yet opened to full capacity but its a great place to hangout with friends.
Note: Don't visit the mall on weekends it's fully crowded.

Thanx 😊",,,,
Samadhan Sawant,Local Guide · 92 reviews · 456 photos,5 stars,a year ago,One of the Biggest malls in Pune. Still developing but you can visit here. Lots of franchisees and shops are started already. Some are yet to start. The parking facility is good. Lots of new things are done and lots of designs and architectural work is done. Must visit place.,,,,
vishnu nair,Local Guide · 24 reviews · 6 photos,3 stars,5 months ago,"The mall is overall very good—clean, spacious, and has a great variety of shops to explore. It's a great place to spend time with family or friends.

However, one thing that disappointed me was the lack of seating arrangements. When visiting with elderly family members or even after walking and shopping for a while, it's essential to have a place to sit and rest. It's surprising and unfortunate that such a basic amenity is missing in a well-maintained mall like this. I hope the management considers adding seating areas for the convenience of visitors. It would make the shopping experience much better for everyone.",,Response from the owner,5 months ago,"Thank you for your review! We’re glad to hear you enjoyed your visit overall, but we're sorry if certain aspects didn't meet your expectations. Your feedback will help us enhance the experience for all our guests."
Abhijit Tapkire,1 review,1 star,3 weeks ago,"I visited the Reliance Trends store at Millennium Mall today and noticed that there was a huge crowd, especially at the billing counter. There was only one female cashier available who was handling everything alone, and as a result, the queue was long and customers were getting frustrated.
What disappointed me even more was when the cashier politely requested for more staff support, the manager reacted rudely instead of helping. As a customer, I found this very unprofessional and unfair towards both the staff and us waiting customers.
I request you to kindly look into this matter and ensure better staff management during busy hours. A little support and coordination can make the experience smoother for everyone.",,,,
Akansha Agarwal,Local Guide · 121 reviews · 403 photos,4 stars,a year ago,"A lot of places yet to open but what has opened is nice. A compact mall with good options...Once they all start.

The food court needs to be a little more spacious but your legs don't hurt after walking the whole mall.",1,,,
Mayuri Dudhe,Local Guide · 15 reviews · 51 photos,5 stars,10 months ago,"𝐏𝐡𝐨𝐞𝐧𝐢𝐱 𝐌𝐚𝐥𝐥 𝐨𝐟 𝐭𝐡𝐞 𝐌𝐢𝐥𝐥𝐞𝐧𝐧𝐢𝐮𝐦 𝐢𝐧 𝐖𝐚𝐤𝐚𝐝 is a premier shopping destination that truly lives up to its name. This sprawling mall offers a wide range of retail options, from high-end luxury brands to popular high-street stores, catering to every shopper's needs. The mall's modern design and spacious layout provide a comfortable and enjoyable shopping experience.

One of the standout features of Phoenix Mall is its extensive dining options. Whether you're in the mood for a quick snack or a gourmet meal, the mall's food court and restaurants offer a variety of cuisines to satisfy any palate. The entertainment options are equally impressive, with a state-of-the-art multiplex, gaming zones, and regular events that ensure there's always something fun to do.

Parking is convenient and well- organized, making it easy to visit even during peak hours. The mall also prioritizes cleanliness and safety, with attentive staff ensuring a pleasant environment for all visitors. Additionally, the location in Wakad is easily accessible, making it a convenient spot for residents and visitors alike.

Overall, Phoenix Mall of the Millennium is a top-notch destination for shopping, dining, and entertainment, making it a must-visit spot in Wakad!",,Response from the owner,10 months ago,"Thank you for your wonderful review! We're delighted to hear that you enjoyed your visit to Phoenix Mall of the Millennium. Providing an exceptional shopping experience is our goal, and we're thrilled to know we achieved that. Your feedback … More"
Manish Rudani,"Local Guide · 447 reviews · 3,701 photos",5 stars,a year ago,"It's a huge mall.
Beautiful interior and decorative and unique patterns of designs.
Huge play area for children named as a fun city.
There are many varieties of food shops.

I just loved the architecture of this mall!
Everything seemed to be Fantastic.
All artifacts are awesome... One can go here just to see the artifacts..
Easy enough to stroll..
Very big and posh entrance.
Shandeliers are very eye catching.
All sorts of brands are available here.
Grouping of shops as per category are done floor wise.
Apart from traffic issues on the weekend I found this mall excellent.

The interior of the mall is quite awesome.................

This time phoenix mall has brought some international brands as well.

At each and every floor you can find some decorative pieces or structures which are very pleasant to the eyes.
.",3,Response from the owner,a year ago,"Thank you for your fantastic review! We're thrilled to learn about your excellent experience at Phoenix Mall of the Millennium in Wakad, Pune. As the largest shopping destination in the area, we're dedicated to delivering top-notch shopping experiences. We look forward to welcoming you back soon.
"
Atik Nadaf,Local Guide · 138 reviews · 384 photos,4 stars,a year ago,"Best photogenic mall of Pune. The interior is very good. One star less because - they tried to put many brands in a small area which makes this mall very congested. The food court is very congested since many outlets and restaurants are at one place with small seating capacity. Top class washrooms. Since it just opened, avoid visiting on weekends.",1,,,
Pallavi Parkhi,Local Guide · 103 reviews · 705 photos,5 stars,a year ago,"This mall is enormous, spanning a wide area. A beautiful water fountain may be found in the area outdoors. On the nights,it's lit up with beautiful colours. At night, the major road outside sees a lot of traffic. The food selections are also excellent.Mall parking is huge .
Still multiple shops have not yet opened.
Just like the phoenix market City it also has beautiful interior and asthetics.
Defenitely a Must visit.",5,,,
SWAPNIL SANKPAL,Local Guide · 247 reviews · 621 photos,5 stars,4 months ago,Nice place of all brands under one roof like Food Clothing etc.,,Response from the owner,4 months ago,Thank you for your feedback regarding our brands! We're delighted to hear you had a good experience overall. We appreciate your support and look forward to welcoming you back to explore more of our offerings!
Neelima Paul,7 reviews · 2 photos,4 stars,a week ago,One of the best malls in Pune to visit with family and friends.,,,,
Prashant Chaudhary (Travel Diary),"Local Guide · 401 reviews · 3,391 photos",5 stars,8 months ago,Wakad was waiting for this mall for a long time and finally it opened on 1st Sept 2023. Today was the 2nd day and we visited it. The entry is awesome with one great fountain. Parking also has ample space. Ambience is great with a lot of stuffs to see and get excited with the mall. As of now it is not fully operational but soon it will. We have Inox with IMAX which will be another good choice for a movie. Almost 95% shops open. Dyson also opened and waited for swarovski to be open.,2,Response from the owner,8 months ago,We appreciate your positive feedback about our mall in Wakad. It's fantastic to hear that you found Phoenix Mall of the Millennium to be the biggest and best shopping center in Pimpri Chinchwad. We strive to create a welcoming and enjoyable shopping experience for all our visitors. Looking forward to your next visit.
